City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,eureka,40.8021,-124.1637,13.71,80,96,2.0,US,1675819729
273,troitsko-pechorsk,62.7084,56.1964,-11.53,94,100,4.14,RU,1675819729
274,finnsnes,69.2296,17.9811,3.34,98,100,5.13,NO,1675819730
275,clyde river,70.4692,-68.5914,-34.87,68,0,2.06,CA,1675819727
276,novopokrovka,49.8425,36.5477,-8.89,84,6,4.67,UA,1675819730
277,bambous virieux,-20.3428,57.7575,26.14,83,40,4.63,MU,1675819711
278,poum,-20.2333,164.0167,26.66,84,100,5.25,NC,1675819730
279,bubaque,11.2833,-15.8333,24.1,69,5,7.6,GW,1675819731
280,xiangfan,32.0422,112.1448,8.93,78,100,2.27,CN,1675819731
281,hendaye,43.3717,-1.7738,4.3,86,0,0.51,FR,1675819732
282,utrecht,52.0,5.25,-0.55,89,100,0.45,NL,1675819505
283,temyasovo,52.9933,58.1014,-18.86,100,89,1.43,RU,1675819732
284,deputatskiy,69.3,139.9,-42.91,99,56,1.81,RU,1675819733
285,freeport,40.6576,-73.5832,5.55,82,75,6.69,US,1675819713
286,iquira,2.6487,-75.6346,21.08,76,54,1.2,CO,1675819733
287,razdolinsk,58.4211,94.6658,-14.83,98,100,0.57,RU,1675819733
288,junction city,39.0286,-96.8314,6.59,44,0,2.06,US,1675819734
289,hamilton,39.1834,-84.5333,12.1,88,100,4.63,US,1675819010
290,sitka,57.0531,-135.33,3.94,75,20,1.54,US,1675819734
291,sambava,-14.2667,50.1667,23.55,89,99,3.08,MG,1675819735
292,vanimo,-2.6741,141.3028,25.04,95,100,3.35,PG,1675819735
293,goderich,43.7501,-81.7165,2.18,93,100,5.14,CA,1675819735
294,borovskoy,53.8,64.15,-22.16,100,81,2.93,KZ,1675819736
295,imbituba,-28.24,-48.6703,22.74,87,10,3.31,BR,1675819736
296,alanya,36.5438,31.9998,6.07,44,1,4.06,TR,1675819737
297,ekibastuz,51.6667,75.3667,-18.16,98,95,1.87,KZ,1675819737
298,kangaatsiaq,68.3065,-53.4641,-27.15,86,100,2.14,GL,1675819737
299,tarauaca,-8.1614,-70.7656,22.3,97,97,0.87,BR,1675819738
300,isangel,-19.55,169.2667,26.84,82,100,2.08,VU,1675819738
301,merrill,45.1805,-89.6835,0.1,70,0,3.6,US,1675819739
302,faanui,-16.4833,-151.75,27.28,73,29,5.36,PF,1675819739
303,general roca,-39.0333,-67.5833,26.46,12,0,5.41,AR,1675819739
304,ribeira grande,38.5167,-28.7,13.21,65,1,3.58,PT,1675819715
305,oktyabrskiy,54.4815,53.471,-22.88,100,91,0.68,RU,1675819740
306,tukrah,32.5341,20.5791,11.37,65,99,4.81,LY,1675819740
307,cockburn town,21.4612,-71.1419,25.48,75,0,10.11,TC,1675819711
308,olafsvik,64.8945,-23.7142,-2.35,57,100,12.84,IS,1675819741
309,san cristobal,7.7669,-72.225,21.1,77,9,0.7,VE,1675819493
310,port hawkesbury,45.6169,-61.3485,-2.23,84,100,1.34,CA,1675819741
311,saint anthony,45.0205,-93.218,-1.03,77,0,2.06,US,1675819742
312,boralday,43.3578,76.8594,-5.08,93,100,2.0,KZ,1675819742
313,rawson,-43.3002,-65.1023,18.83,58,5,3.85,AR,1675819743
314,port blair,11.6667,92.75,27.02,69,40,3.6,IN,1675819743
315,trapani,37.8333,12.6667,6.05,76,40,2.06,IT,1675819464
316,nome,64.5011,-165.4064,-21.02,71,0,1.54,US,1675819744
317,oyem,1.5995,11.5793,19.81,91,59,1.2,GA,1675819744
318,grindavik,63.8424,-22.4338,-2.74,68,75,12.35,IS,1675819744
319,auki,-8.7676,160.7034,28.6,77,100,2.61,SB,1675819745
320,maputo,-25.9653,32.5892,23.65,91,48,0.7,MZ,1675819745
321,sioux lookout,50.1001,-91.917,-7.96,73,40,2.57,CA,1675819746
322,caravelas,-17.7125,-39.2481,25.43,81,4,3.99,BR,1675819589
323,blind river,46.1834,-82.9582,2.06,82,96,5.55,CA,1675819746
324,bonawon,9.134,122.9193,28.89,73,100,5.16,PH,1675819503
325,henties bay,-22.116,14.2845,18.24,89,26,2.21,NA,1675819747
326,newcastle,-32.9272,151.7765,27.49,63,40,5.14,AU,1675819631
327,aguimes,27.9054,-15.4461,14.35,63,40,3.6,ES,1675819747
328,beringovskiy,63.05,179.3167,-27.04,94,92,3.44,RU,1675819748
329,fairbanks,64.8378,-147.7164,-10.99,79,40,0.0,US,1675819695
330,lagunillas,10.1301,-71.2595,27.67,65,10,2.69,VE,1675819748
331,vikhorevka,56.1201,101.1636,-17.23,98,100,0.95,RU,1675819749
332,asau,46.4333,26.4,-5.49,98,96,1.73,RO,1675819749
333,gorontalo,0.5412,123.0595,23.28,95,100,2.57,ID,1675819750
334,la rioja,42.25,-2.5,-1.12,98,100,1.91,ES,1675819750
335,chiredzi,-21.05,31.6667,20.99,77,42,0.55,ZW,1675819750
336,surt,31.2089,16.5887,12.18,66,100,5.72,LY,1675819751
337,petropavlovsk-kamchatskiy,53.0452,158.6483,-10.67,52,20,3.0,RU,1675819751
338,dunedin,-45.8742,170.5036,15.04,53,55,7.24,NZ,1675819539
339,cranbrook,49.4999,-115.7688,0.91,93,100,4.12,CA,1675819751
340,bonnyville,54.2668,-110.735,0.62,95,34,2.47,CA,1675819752
341,cravo norte,6.3017,-70.2041,29.11,48,93,2.33,CO,1675819752
342,vasto,42.1243,14.7059,3.03,60,100,2.37,IT,1675819752
343,hashtrud,37.4779,47.0508,-7.95,94,87,1.14,IR,1675819752
344,bathsheba,13.2167,-59.5167,24.34,88,75,8.75,BB,1675819753
345,provost,52.3501,-110.2683,-2.75,97,100,0.78,CA,1675819753
346,pangai,-19.8,-174.35,29.06,70,40,4.12,TO,1675819677
347,zhezkazgan,47.8043,67.7144,-16.01,85,100,3.0,KZ,1675819754
348,wadena,46.4425,-95.1361,-1.98,74,0,3.09,US,1675819754
349,kisesa,-3.0833,34.15,18.03,73,100,3.06,TZ,1675819754
350,bria,6.5423,21.9863,20.27,19,7,1.99,CF,1675819755
351,marawi,7.9986,124.2928,22.82,67,100,0.96,PH,1675819755
352,pastos bons,-6.6017,-44.0767,22.59,88,87,0.68,BR,1675819755
353,genhe,50.7833,121.5167,-24.92,100,99,0.87,CN,1675819756
354,chicama,-7.8447,-79.1469,22.3,73,44,2.97,PE,1675819756
355,chulman,56.8479,124.9104,-28.39,97,100,1.71,RU,1675819757
356,punto fijo,11.6956,-70.1996,24.92,79,76,11.62,VE,1675819757
357,buluang,13.3068,123.3425,26.58,75,97,1.78,PH,1675819757
358,mandiana,10.6333,-8.6833,26.65,22,10,1.94,GN,1675819757
359,northam,51.0333,-4.2167,3.67,93,0,2.7,GB,1675819758
360,san quintin,30.4833,-115.95,16.08,48,0,2.82,MX,1675819722
361,broome,42.2506,-75.833,4.14,75,100,4.63,US,1675819758
